Val_errors
55 40 40 35 25 30 50 30 35 40 45 40 35 50 40 
Sizes
82.4742 91.2371 82.9897 92.268 84.0206 73.7113 72.1649 83.5052 82.9897 91.2371 73.1959 70.6186 80.9278 86.0825 75.2577 
Errors
11 8 8 7 5 6 10 6 7 8 9 8 7 10 8 
